,beg_loc,beg_loc_lat,beg_loc_long,Captives arrived at 1st port
0,Africa,11.5024338,17.7578122,1680.0
1,Amsterdam,52.3727598,4.8936041,22381.0
2,Annapolis,38.9786401,-76.492786,0.0
3,Antigua,17.10371515,-61.79045045805584,3737.0
4,Antwerp,51.2211097,4.3997081,307.0
5,Azores,37.80855645,-25.47313739124529,35.0
6,Bahia,-12.285251,-41.9294776,572381.0
7,Bahia Honda,7.711183,-80.4535353,1900.0
8,Baltimore,39.2908816,-76.610759,1482.0
9,Bance/Bunce Island,8.5698616,-13.0403748,0.0
10,Barbados,13.1500331,-59.5250305,31200.0
11,Barcelona,41.3828939,2.1774322,2350.0
12,Bayonne,43.4945144,-1.4736657,240.0
13,Belgium,50.6402809,4.6667145,130.0
14,Bengal,39.4735045,-85.9228997,0.0
15,Bermuda,32.30382,-64.7561647,215.0
16,Bilbao,43.2630018,-2.9350039,322.0
17,Bissau,11.861324,-15.583055,410.0
18,Bordeaux,44.841225,-0.5800364,75623.0
19,Boston,42.3554334,-71.060511,7810.0
20,Brazil,-10.3333333,-53.2,6543.0
21,Brest,48.3905283,-4.4860088,1663.0
22,Bristol,51.4538022,-2.5972985,254042.0
23,Bristol (RI),41.7034082,-71.2844401,6603.0
24,British Americas,41.6771101,-71.2662025,214.0
25,British Caribbean,48.4388163,-123.3592125,164.0
26,Brugge,51.2085526,3.226772,353.0
27,Buenos Aires,-34.6075682,-58.4370894,728.0
28,Cabanas,43.4182512,-8.1628346,69.0
29,Cadiz,36.5297438,-6.2928976,15704.0
30,Camaret,44.1650029,4.8736859,239.0
31,Canary Islands,28.2863989,-16.796011808910734,1254.0
32,Canasí,23.1146274,-81.7804181,141.0
33,Cape Verde Islands,16.0000552,-24.0083947,1780.0
34,Cape of Good Hope,-34.3571503,18.4739571,0.0
35,Caracas,10.4813175,-66.8796057,151.0
36,Cardenas,42.3743627,-2.767099,3756.0
37,Charleston,32.7876012,-79.9402728,17040.0
38,Chester,53.1908873,-2.8908955,858.0
39,Colchester,51.8896903,0.8994651,77.0
40,Cork,51.897077,-8.4654674,50.0
41,Coruña,43.3709703,-8.3959425,531.0
42,Cowes,50.7633176,-1.2985186,418.0
43,Cuba,23.0131338,-80.8328748,10781.0
44,Danish West Indies,18.3333,-64.8333,518.0
45,Dartmouth,50.3514839,-3.583844,584.0
46,Demerara,5.5,-58.333333,381.0
47,Dieppe,49.9246182,1.0791444,210.0
48,Dominica,19.0974031,-70.3028026,1207.0
49,Dordrecht,51.7958812,4.6779351,17.0
50,Dunkerque,51.0347708,2.3772525,6064.0
51,Elbe,46.7646389,-122.1935396,0.0
52,Emden,53.3670541,7.2058304,1198.0
53,England,52.5310214,-1.2649062,730.0
54,Enkhuizen,52.7036282,5.2901222,0.0
55,Exeter,50.7255794,-3.5269497,107.0
56,Falmouth (Eng.),50.1552197,-5.0688262,0.0
57,France,46.603354,1.8883335,819.0
58,Freetown,8.479004,-13.26795,0.0
59,Georgia,32.3293809,-83.1137366,47.0
60,Gibraltar,36.1285933,-5.3474761,0.0
61,Glasgow,55.8609825,-4.2488787,457.0
62,Glückstadt,53.787927,9.4238157,0.0
63,Goa,15.3004543,74.0855134,0.0
64,Gorée,14.6664099,-17.398279,367.0
65,Great Britain,54.31536155,-1.91802349480124,0.0
66,Greenock,55.9473423,-4.7564721,923.0
67,Grenada,12.1360374,-61.6904045,1483.0
68,Groningen,53.2190652,6.5680077,383.0
69,Guadeloupe,16.2528827,-61.5686855,2546.0
70,Guanimar,22.6872771,-82.6547915,100.0
71,Guernsey,49.4566233,-2.5822348,109.0
72,Gustavia,17.8957043,-62.8508372,369.0
73,Göteborg,57.7072326,11.9670171,86.0
74,Hamburg,53.550341,10.000654,1923.0
75,Havana,23.135305,-82.3589631,153440.0
76,Hellevoetsluis,51.8433469,4.121302772091924,12713.0
77,Honfleur,49.4197222,0.2338889,23312.0
78,Hull,53.7435722,-0.3394758,0.0
79,Ile de France,48.6443057,2.7537863,621.0
80,Ilho do Fayal,-28.696277,38.592427,0.0
81,Inhambane,-22.779116,34.5661741,0.0
82,Jamaica,18.1850507,-77.3947693,5643.0
83,Kingston,17.9712148,-76.7928128,1976.0
84,København,55.6867243,12.5700724,3979.0
85,La Rochelle,46.1591126,-1.1520434,80587.0
86,Lancaster,40.03813,-76.3056686,12266.0
87,Latvia,56.8406494,24.7537645,0.0
88,Le Havre,49.4938975,0.1079732,93108.0
89,Leith,55.9725499,-3.1709492,93.0
90,Les Sables,45.0931104,6.0108831,0.0
91,Limerick,52.661252,-8.6301239,96.0
